日付け,終値
９月 2021,416.57
８月 2021,415.05
７月 2021,403.15
６月 2021,393.52
５月2021,386.13
４月2021,383.57
３月 2021,364.3
２月 2021,349.59
１月 2021,340.18
12月 2020,343.69
11月 2020,332.64
10月 2020,299.82
９月 2020,307.65
８月 2020,321.02
７月 2020,300.1
６月 2020,283.43
５月2020,279.75
４月2020,267.1
３月 2020,236.82
２月 2020,271.74
１月 2020,295.69
12月 2019,295.8
11月 2019,288.65
10月 2019,278.55
９月 2019,272.6
８月 2019,268.6
７月 2019,273.08
６月 2019,269.15
５月2019,252.87
４月2019,270.01
３月 2019,259.54
２月 2019,256.07
１月 2019,248.01
12月 2018,229.81
11月 2018,253.48
10月 2018,248.79
９月 2018,267.05
８月 2018,266.72
７月 2018,258.4
６月 2018,249.51
５月2018,248.79
４月2018,242.92
３月 2018,242.08
２月 2018,249.34
１月 2018,258.99
12月 2017,245.29
11月 2017,243.35
10月 2017,236.13
９月 2017,230.76
８月 2017,227.3
７月 2017,226.64
６月 2017,222.06
５月2017,221.67
４月2017,218.6
３月 2017,216.35
２月 2017,217.07
１月 2017,208.97
12月 2016,205.31
11月 2016,202.4
10月 2016,195.13
９月 2016,198.69
８月 2016,199.52
７月 2016,199.28
６月 2016,192.2
５月2016,192.54
４月2016,189.22
３月 2016,188.56
２月 2016,177.38
１月 2016,177.75
12月 2015,186.93
11月 2015,191.37
10月 2015,190.56
９月 2015,175.71
８月 2015,181.11
７月 2015,192.95
６月 2015,188.84
５月2015,193.49
４月2015,191.1
３月 2015,189.2
２月 2015,193.2
１月 2015,182.99
12月 2014,188.4
11月 2014,190.03
10月 2014,184.93
９月 2014,180.59
８月 2014,183.99
７月 2014,176.96
６月 2014,179.43
５月2014,176.55
４月2014,172.59
３月 2014,171.35
２月 2014,170.63
１月 2014,163.18
12月 2013,169.15
11月 2013,165.7
10月 2013,160.88
９月 2013,154
８月 2013,149.7
７月 2013,154.46
６月 2013,146.68
５月2013,149.68
４月2013,146.28
３月 2013,143.28
２月 2013,138.94
１月 2013,137.12
12月 2012,130.38
11月 2012,130
10月 2012,129.26
９月 2012,131.84
８月 2012,129.22
７月 2012,126.06
６月 2012,124.56
５月2012,120.24
４月2012,127.92
３月 2012,128.74
２月 2012,125.18
１月 2012,120.04
12月 2011,114.9
11月 2011,114.3
10月 2011,114.64
９月 2011,103.52
８月 2011,111.68
７月 2011,118.2
６月 2011,120.68
５月2011,123.34
４月2011,124.8
３月 2011,121.24
２月 2011,121.78
１月 2011,117.7
12月 2010,115.14
11月 2010,108.18
10月 2010,108.3
